Sadness,Anxious,Peer Pressure,Sleep Quality,AI Tools,Family Stress,Financial Satisfaction,Friends Support,Resources Access,Home Stress,Commute Stress,Noise Level,Weather Conditions,Program Confidence,Academic Stress,Advisor Support,Stress Level
Never,Sometimes,Never,Always,Rarely,Never,Very Satisfied,Neutral,Excellent,Neutral,Not at all,Manageable,Neutral,Yes,Not at all,Significantly,1
Often,Always,Always,Always,Sometimes,Oftem,Dissatisfied,Agree,Good,Agree,Extremely,Distrubing,Strongly Agree,Yes,Significantly,Not at all,5
Rarely,Often,Sometimes,Always,Oftem,Always,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,4
Sometimes,Often,Sometimes,Always,Sometimes,Often,Satisfied,Neutral,Good,Neutral,Moderately,Disturbing,Agree,Yes,Moderately,Significantly,4
Always,Always,Always,Always,Sometimes,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Sometimes,Rarely,Rarely,Always,Sometimes,Never,Satisfied,Agree,Good,Disagree,A little,Manageable,Agree,Yes,A little,Moderately,2
Never,Never,Never,Sometimes,Rarely,Never,Very Satisfied,Agree,Excellent,Neutral,Not at all,Manageable,Disagree,Yes,Not at all,Significantly,1
Always,Always,Always,Rarely,Always,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Sometimes,Sometimes,Often,Satisfied,Agree,Good,Agree,Moderately,Manageable,Agree,Yes,Moderately,Moderately,3
Rarely,Always,Rarely,Always,Sometimes,Rarely,Neutral,Neutral,Good,Disagree,Moderately,Manageable,Neutral,Yes,A little,Significantly,3
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Significantly,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Often,Always,Sometimes,Always,Oftem,Sometimes,Neutral,Agree,Good,Agree,Extremely,Manageable,Agree,Yes,Significantly,Significantly,4
Never,Rarely,Never,Sometimes,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Disagree,A little,Manageable,Agree,Yes,Not at all,Moderately,1
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Rarely,Often,Sometimes,Always,Oftem,Always,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,4
Sometimes,Often,Sometimes,Always,Sometimes,Often,Satisfied,Neutral,Good,Neutral,Moderately,Disturbing,Agree,Yes,Moderately,Significantly,4
Always,Always,Always,Always,Sometimes,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Sometimes,Rarely,Rarely,Always,Sometimes,Never,Satisfied,Agree,Good,Disagree,A little,Manageable,Agree,Yes,A little,Moderately,2
Rarely,Never,Never,Sometimes,Rarely,Rarely,Neutral,Agree,Good,Disagree,Moderately,Manageable,Neutral,Yes,A little,Significantly,3
Never,Never,Sometimes,Always,Sometimes,Never,Very Satisfied,Strongly Agree,Excellent,Disagree,Not at all,Manageable,Agree,Yes,Not at all,Moderately,1
Rarely,Rarely,Rarely,Often,Rarely,Rarely,Satisfied,Agree,Good,Neutral,A little,Manageable,Disagree,Yes,A little,Moderately,2
Often,Sometimes,Often,Always,Oftem,Sometimes,Neutral,Neutral,Good,Agree,Moderately,Disturbing,Neutral,Yes,Moderately,Significantly,3
Always,Often,Always,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Neutral,Agree,Good,Agree,A little,Manageable,Agree,Yes,A little,Moderately,2
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Neutral,Excellent,Neutral,Not at all,Manageable,Neutral,Yes,Not at all,Significantly,1
Often,Always,Always,Always,Often,Always,Dissatisfied,Agree,Good,Agree,Extremely,Disturbing,Strongly Agree,Yes,Significantly,Not at all,5
Rarely,Often,Sometimes,Always,Often,Always,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,4
Sometimes,Often,Sometimes,Always,Sometimes,Often,Satisfied,Neutral,Good,Neutral,Moderately,Disturbing,Agree,Yes,Moderately,Moderately,4
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Sometimes,Rarely,Rarely,Always,Sometimes,Never,Satisfied,Agree,Good,Disagree,A little,Manageable,Agree,Yes,A little,Moderately,2
Never,Never,Never,Sometimes,Rarely,Never,Very Satisfied,Agree,Excellent,Neutral,Not at all,Manageable,Disagree,Yes,Not at all,Significantly,1
Always,Always,Always,Rarely,Always,Always,Very Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Sometimes,Sometimes,Often,Satisfied,Agree,Good,Agree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,3
Rarely,Always,Rarely,Always,Sometimes,Rarely,Neutral,Neutral,Good,Disagree,Moderately,Manageable,Neutral,Yes,A little,Moderately,3
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Often,Always,Sometimes,Always,Often,Always,Neutral,Agree,Good,Agree,Extremely,Manageable,Agree,Yes,Significantly,Significantly,4
Never,Rarely,Never,Sometimes,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Disagree,A little,Manageable,Agree,Yes,Not at all,Moderately,1
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Rarely,Often,Sometimes,Always,Often,Always,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,4
Sometimes,Often,Sometimes,Always,Sometimes,Often,Satisfied,Neutral,Good,Neutral,Moderately,Disturbing,Agree,Yes,Moderately,Significantly,4
Always,Always,Always,Always,Sometimes,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Sometimes,Rarely,Rarely,Always,Sometimes,Never,Satisfied,Agree,Good,Disagree,A little,Manageable,Agree,Yes,A little,Moderately,2
Rarely,Never,Never,Sometimes,Rarely,Rarely,Neutral,Agree,Good,Disagree,Moderately,Manageable,Neutral,Yes,A little,Significantly,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Disagree,Not at all,Manageable,Agree,Yes,Not at all,Significantly,1
Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Satisfied,Agree,Good,Neutral,A little,Manageable,Disagree,Yes,A little,Moderately,2
Often,Sometimes,Often,Always,Oftem,Sometimes,Neutral,Neutral,Good,Agree,Moderately,Disturbing,Neutral,Yes,Moderately,Significantly,3
Always,Often,Always,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Neutral,Agree,Good,Agree,A little,Manageable,Agree,Yes,A little,Moderately,2
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Neutral,Excellent,Neutral,Not at all,Manageable,Neutral,Yes,Not at all,Significantly,1
Often,Always,Always,Always,Often,Always,Dissatisfied,Agree,Good,Agree,Extremely,Disturbing,Strongly Agree,Yes,Significantly,Not at all,5
Rarely,Often,Sometimes,Always,Often,Always,Neutral,Agree,Good,Disagree,Moderately,Manageable,Agree,Yes,Moderately,Significantly,4
Sometimes,Often,Sometimes,Always,Sometimes,Often,Satisfied,Neutral,Good,Neutral,Moderately,Disturbing,Agree,Yes,Moderately,Moderately,4
Always,Always,Always,Always,Always,Always,Very Dissatisfied,Neutral,Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,A little,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
